path,labels
train\Voice787.wav,देशका नागरिकले गर्नुपर्ने कामहरू देशका विकासमा धेरै असर पार्ने गर्छन्।
train\Voice103.wav,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।"
train\Voice750.wav,यहाँ मन्दिरले मस्जिदको रिस गर्दैन भने गुम्बाले गिर्जाघरलाई गाली गर्दैन।
train\Voice929.wav,हामी नेपाली नेपाललाई अंग्रेजबाट मुक्त गराएर स्वच्छ बनाउने बिर योद्धा हो ।
train\Voice536.wav,एसियाका दुई ठुलो राष्ट्र भारत र चीनको बिचमा रहेको मेरो देश नेपाल रहेको छ।
train\Voice982.wav,कमिश्नरको बोली सुनियो कोठामा- अब बाहिर आउनुपर्यो  ।
train\Voice530.wav,कार्तिक कृष्णपक्षको त्रयोदशी तिथिका सुनसान अँधेरी रातमा घन्किएको मेरो चिच्याहाट सुनेर छिमेकीहरूलाई साथ दिइरहेकी एकछिनका लागि बेपत्ता भएकी थिइन।
train\Voice704.wav,कालगतिको नियमबाट आएन यो; न अकस्मात्‌  नै आयो ।
train\Voice66.wav,तिहारको पहिलो दिनलाई काग-तिहार भनिन्छ।
train\Voice948.wav,तिनीहरू केवल आवश्यकताका चीजहरू किन्न र ध्यान दिन्छन् कि उनीहरूलाई आफ्नो कामको मार्गमा असल मनुष्य बन्न र तिनीहरूको सामान देखाउन नसक्ने फोकस गर्छन्।
train\Voice612.wav,आज हरेक स्कुलमा पुस्तकालय ।
train\Voice833.wav,मैले भनें- मेरो त एउटा मात्र नाउँ छ ।
train\Voice776.wav,"म्याडम क्युरी, फलोरेन्स नाइटिङ्गेल, जुनको ताबेइ आदि यस्ता व्यक्तित्व हुन् जसले आफ्नो प्रतिभाको माध्यमबाट आफूलाई विश्वभर चिनाउन समर्थ भए र यिनी सबै नारी नै हुन् जसले शिक्षा पाएका थिए ।"
train\Voice156.wav,"अनि भैलो खेलेबापत घरमूलीले श्रद्धाले दिएका सेल, रुपैयाँ आदि लिई उनीहरू रमाउँछन्।"
train\Voice57.wav,देशको निर्माणमा र उन्नतिमा समाजको ठुलो योगदान रहेको छ भन्ने कुरा प्रत्यक नागरिकले दिलदिमागले बुझ्नुपर्छ।
train\Voice666.wav,"हो, आमालाई धेरै काम छ, मालमत्ताको राखनधरन गर्नु छ, उहाँलाई फुर्सत छैन ।"
train\Voice903.wav,र अनिवार्य भएमा मात्र अनिवार्य परिमाण प्रयोग होस्‌ ।
train\Voice639.wav,खाजा खानासाथ मलाई लिएर ग्राम दर्शनमा उ हिँडी ।
train\Voice804.wav,तिहार नेपालीहरूको ज्यादै रमाइलो र महत्त्वपूर्ण चाड हो।
train\Voice873.wav,दसौं लाख युक्रेनीलाई ऊर्जा र अन्य अत्यावश्यकीय सेवाबाट वञ्चित गरिरहेको छ ।
train\Voice875.wav,निश्चय पनि ‘ हरियो वन नेपालको धन’ हो।
train\Voice874.wav,कडा नियम बनाए पनि यस आधानिक युगमा नराम्रो मानिसले गर्दा समाज पछि पर्छन्।
train\Voice697.wav,"अनुशासन' शब्दले 'सामाजिक, नैतिक, धार्मिक, राजनैतिक आदि नियम-नियमावलीको मर्यादा र सो मर्यादाभित्र रहने काम भन्ने अर्थ बुझाउँछ, ।"
train\Voice31.wav,हामीले यसमा रहेको अर्थपूर्ण ज्ञानलाई मनले धारण गर्न सक्यो भने लक्ष्य र आकाङ्क्षा प्राप्त गर्न सक्छौ।
train\Voice150.wav,हामी सबै देशका र समाजका सच्चा नागरिक हौ भने यस्ता समस्यालाई मिलिजुली सुल्झाउनुपर्छ।
