path,labels,phonemes
train\Voice787.wav,देशका नागरिकले गर्नुपर्ने कामहरू देशका विकासमा धेरै असर पार्ने गर्छन्।,d̪ eː ʃ k aː   n aː g ɾ i k l eː   g ɾ  n u p ɾ  n eː   k aː m ɦ ɾ uː   d̪ eː ʃ k aː   ʋ i k aː s m aː   d̪ʱ eː ɾ ai   ə s ɾ   p aː ɾ  n eː   g ɾ  t͡ʃʰ n 
train\Voice103.wav,"उसले बैनीलाई राखेर भन्यो- बैनी, तिमीले पढ्नु पनि पर्छ ।",u s l eː   b ai n iː l aː iː   ɾ aː kʰ eː ɾ   bʱ n  j oː   b ai n iː   t̪ i m iː l eː   p ɖʱ  n u   p n i   p ɾ  t͡ʃʰ  
train\Voice750.wav,यहाँ मन्दिरले मस्जिदको रिस गर्दैन भने गुम्बाले गिर्जाघरलाई गाली गर्दैन।,j ɦ aː ̃   m n  d̪ i ɾ l eː   m s  d͡ʒ i d̪ k oː   ɾ i s   g ɾ  d̪ ai n   bʱ n eː   g u m  b aː l eː   g i ɾ  d͡ʒ aː gʱ ɾ l aː iː   g aː l iː   g ɾ  d̪ ai n
train\Voice929.wav,हामी नेपाली नेपाललाई अंग्रेजबाट मुक्त गराएर स्वच्छ बनाउने बिर योद्धा हो ।,ɦ aː m iː   n eː p aː l iː   n eː p aː l l aː iː   ə ̃ g  ɾ eː d͡ʒ b aː ʈ   m u k  t̪   g ɾ aː eː ɾ   s  ʋ t͡ʃ  t͡ʃʰ   b n aː u n eː   b i ɾ   j oː d̪  d̪ʱ aː   ɦ oː  
train\Voice536.wav,एसियाका दुई ठुलो राष्ट्र भारत र चीनको बिचमा रहेको मेरो देश नेपाल रहेको छ।,eː s i j aː k aː   d̪ u iː   ʈʰ u l oː   ɾ aː ʂ  ʈ  ɾ   bʱ aː ɾ t̪   ɾ   t͡ʃ iː n k oː   b i t͡ʃ m aː   ɾ ɦ eː k oː   m eː ɾ oː   d̪ eː ʃ   n eː p aː l   ɾ ɦ eː k oː   t͡ʃʰ
train\Voice982.wav,कमिश्नरको बोली सुनियो कोठामा- अब बाहिर आउनुपर्यो  ।,k m i ʃ  n ɾ k oː   b oː l iː   s u n i j oː   k oː ʈʰ aː m aː   ə b   b aː ɦ i ɾ   aː u n u p ɾ  j oː    
train\Voice530.wav,कार्तिक कृष्णपक्षको त्रयोदशी तिथिका सुनसान अँधेरी रातमा घन्किएको मेरो चिच्याहाट सुनेर छिमेकीहरूलाई साथ दिइरहेकी एकछिनका लागि बेपत्ता भएकी थिइन।,k aː ɾ  t̪ i k   k ʂ  ɳ p k  ʂ k oː   t̪  ɾ j oː d̪ ʃ iː   t̪ i t̪ʰ i k aː   s u n s aː n   ə ̃ d̪ʱ eː ɾ iː   ɾ aː t̪ m aː   gʱ n  k i eː k oː   m eː ɾ oː   t͡ʃ i t͡ʃ  j aː ɦ aː ʈ   s u n eː ɾ   t͡ʃʰ i m eː k iː ɦ ɾ uː l aː iː   s aː t̪ʰ   d̪ i i ɾ ɦ eː k iː   eː k t͡ʃʰ i n k aː   l aː g i   b eː p t̪  t̪ aː   bʱ eː k iː   t̪ʰ i i n
train\Voice704.wav,कालगतिको नियमबाट आएन यो; न अकस्मात्‌  नै आयो ।,k aː l g t̪ i k oː   n i j m b aː ʈ   aː eː n   j oː   n   ə k s  m aː t̪      n ai   aː j oː  
train\Voice66.wav,तिहारको पहिलो दिनलाई काग-तिहार भनिन्छ।,t̪ i ɦ aː ɾ k oː   p ɦ i l oː   d̪ i n l aː iː   k aː g t̪ i ɦ aː ɾ   bʱ n i n  t͡ʃʰ
train\Voice948.wav,तिनीहरू केवल आवश्यकताका चीजहरू किन्न र ध्यान दिन्छन् कि उनीहरूलाई आफ्नो कामको मार्गमा असल मनुष्य बन्न र तिनीहरूको सामान देखाउन नसक्ने फोकस गर्छन्।,t̪ i n iː ɦ ɾ uː   k eː ʋ l   aː ʋ ʃ  j k t̪ aː k aː   t͡ʃ iː d͡ʒ ɦ ɾ uː   k i n  n   ɾ   d̪ʱ  j aː n   d̪ i n  t͡ʃʰ n    k i   u n iː ɦ ɾ uː l aː iː   aː pʰ  n oː   k aː m k oː   m aː ɾ  g m aː   ə s l   m n u ʂ  j   b n  n   ɾ   t̪ i n iː ɦ ɾ uː k oː   s aː m aː n   d̪ eː kʰ aː u n   n s k  n eː   pʰ oː k s   g ɾ  t͡ʃʰ n 
train\Voice612.wav,आज हरेक स्कुलमा पुस्तकालय ।,aː d͡ʒ   ɦ ɾ eː k   s  k u l m aː   p u s  t̪ k aː l j  
train\Voice833.wav,मैले भनें- मेरो त एउटा मात्र नाउँ छ ।,m ai l eː   bʱ n eː ̃   m eː ɾ oː   t̪   eː u ʈ aː   m aː t̪  ɾ   n aː u ̃   t͡ʃʰ  
train\Voice776.wav,"म्याडम क्युरी, फलोरेन्स नाइटिङ्गेल, जुनको ताबेइ आदि यस्ता व्यक्तित्व हुन् जसले आफ्नो प्रतिभाको माध्यमबाट आफूलाई विश्वभर चिनाउन समर्थ भए र यिनी सबै नारी नै हुन् जसले शिक्षा पाएका थिए ।",m  j aː ɖ m   k  j u ɾ iː   pʰ l oː ɾ eː n  s   n aː i ʈ i ŋ  g eː l   d͡ʒ u n k oː   t̪ aː b eː i   aː d̪ i   j s  t̪ aː   ʋ  j k  t̪ i t̪  ʋ   ɦ u n    d͡ʒ s l eː   aː pʰ  n oː   p  ɾ t̪ i bʱ aː k oː   m aː d̪ʱ  j m b aː ʈ   aː pʰ uː l aː iː   ʋ i ʃ  ʋ bʱ ɾ   t͡ʃ i n aː u n   s m ɾ  t̪ʰ   bʱ eː   ɾ   j i n iː   s b ai   n aː ɾ iː   n ai   ɦ u n    d͡ʒ s l eː   ʃ i k  ʂ aː   p aː eː k aː   t̪ʰ i eː  
train\Voice156.wav,"अनि भैलो खेलेबापत घरमूलीले श्रद्धाले दिएका सेल, रुपैयाँ आदि लिई उनीहरू रमाउँछन्।",ə n i   bʱ ai l oː   kʰ eː l eː b aː p t̪   gʱ ɾ m uː l iː l eː   ʃ  ɾ d̪  d̪ʱ aː l eː   d̪ i eː k aː   s eː l   ɾ u p ai j aː ̃   aː d̪ i   l i iː   u n iː ɦ ɾ uː   ɾ m aː u ̃ t͡ʃʰ n 
